Hero,rank 123 pick,rank 123 Win Rate,rank 4 pick,rank 4 Win Rate,rank 5 pick,rank 5 Win Rate,rank 6 pick,rank 6 Win Rate,rank 78 pick,rank 78 Win Rate
Undying,5.6598,51.0244,5.1321,49.9296,4.4136,50.6703,4.2853,50.4477,4.7234,50.3313
Grimstroke,5.6155,46.9106,7.4411,46.5347,8.8845,46.783,9.7894,45.6043,11.3342,44.267
Timbersaw,5.5929,48.2467,6.5764,48.5972,7.2852,48.0803,8.437,50.3706,11.9439,50.8032
Templar Assassin,5.5768,46.0524,6.1974,47.5071,6.9656,50.0481,8.2423,50.6639,10.2973,52.2796
Razor,5.558,50.687,5.2099,52.4586,5.5443,52.6398,6.2176,53.1032,6.7197,53.1186
Tinker,5.5316,46.5655,6.6381,45.9606,7.0193,46.5969,6.8416,47.0447,5.1425,48.399
Dark Willow,5.4477,50.4672,6.3397,50.2366,6.9787,51.1079,7.6354,51.9918,8.452,52.0367
Warlock,5.4439,51.1603,5.3494,51.9011,4.846,51.8479,4.2576,49.5743,2.9012,49.6716
Tidehunter,5.294,50.2048,5.7106,50.9439,4.9225,50.9697,3.8617,50.2944,2.7189,50.4504
Centaur Warrunner,5.1921,49.6095,6.6192,50.1637,7.331,50.6322,8.5628,51.0664,12.4569,50.4915
Tiny,5.0479,43.7616,5.1821,42.6166,5.5222,42.9847,6.0577,43.7236,7.2109,46.0652
Phoenix,4.915,52.0429,7.365,52.6824,9.2782,52.702,11.4759,52.3532,16.4373,54.2677
Abaddon,4.8584,51.7562,4.6675,52.4467,4.3852,51.7092,4.2448,50.1925,3.9572,49.4841
Treant Protector,4.8273,49.8437,4.8431,49.1451,4.7474,49.7922,4.5177,49.5359,3.5789,49.0494
Winter Wyvern,4.798,47.4356,5.6806,48.963,6.714,49.574,8.8976,50.567,12.4515,50.4918
Naga Siren,4.6821,54.8731,3.9917,50.9814,3.8223,52.9982,4.4331,51.571,6.1618,52.9814
Death Prophet,4.6538,48.3387,4.7458,50.281,5.2204,51.8476,6.3263,53.3587,9.9911,52.9964
Pangolier,4.5482,45.9162,6.7259,47.7732,9.3804,47.1696,11.478,47.7617,15.8154,49.3804
Sand King,4.4002,50.2249,4.807,49.1098,5.0085,48.5349,4.9306,48.9045,4.2974,47.72
Tusk,4.2927,45.7061,5.1004,47.4395,5.4784,48.6426,5.8701,49.9273,7.528,50.0
Clinkz,4.0485,44.8998,3.3654,48.101,3.5603,48.4764,3.7054,47.7368,3.417,47.2321
Enchantress,3.8222,44.8199,2.6513,46.2167,2.1646,45.0519,2.1618,46.0552,3.5027,46.5423
Gyrocopter,3.7996,45.4838,3.8144,45.4691,3.9702,46.393,4.0252,45.0564,4.5015,46.2212
Outworld Devourer,3.694,43.1597,4.9537,44.5927,5.6997,46.0894,6.6291,46.5373,7.7975,45.8289
Puck,3.4554,45.7298,4.7092,45.5864,6.2264,47.1203,7.9915,48.2792,10.8335,48.2225
Nyx Assassin,3.4507,48.7704,4.6269,49.9759,5.7739,51.0522,6.7918,51.4805,8.2982,51.6562
Night Stalker,3.4177,49.6,3.905,51.9282,3.8728,53.2851,4.0636,51.7313,3.5476,50.9397
Terrorblade,3.4055,48.1173,3.5155,48.1346,3.8317,49.1815,5.045,47.9645,9.195,49.519
Bane,3.3942,51.1388,4.0467,51.5929,4.8519,53.7848,6.4223,54.1994,9.523,55.5301
Io,3.3112,44.8177,3.391,44.0839,3.1741,44.5687,3.129,46.2639,3.6225,47.5957
Lycan,3.2235,51.477,3.6739,53.8798,4.5146,54.771,6.4777,58.9358,10.3844,60.5818
Lone Druid,3.166,51.3103,3.6694,52.2489,4.1091,53.9362,4.6527,52.5584,4.4675,53.6095
Enigma,3.1179,49.8941,3.1159,49.135,2.7824,49.8936,2.3764,50.8672,2.4317,52.0984
Doom,3.0972,43.0745,3.2198,44.5288,3.1579,43.5727,2.9599,43.3373,2.5107,43.9024
Magnus,2.9171,43.148,4.3924,45.1037,4.7312,44.576,4.7181,45.5942,3.3353,45.1244
Omniknight,2.8285,47.8333,2.5896,48.7553,2.0016,48.8175,1.6309,48.8453,1.5037,48.8687
Earth Spirit,2.49,46.2703,3.7828,45.3209,4.7856,45.9319,5.9156,46.8284,7.1647,46.7806
Broodmother,2.3684,50.1592,2.3668,50.9744,2.5074,52.9578,2.9244,54.2648,3.0128,54.1553
Oracle,2.3401,44.6817,3.4721,45.7586,4.3635,46.4514,5.8765,48.2041,8.501,48.007
Dark Seer,2.2778,51.0347,2.5213,51.7081,2.5749,52.8726,2.7204,53.2131,2.9611,51.6544
Shadow Demon,2.1704,45.2649,2.793,45.8814,3.1315,47.871,3.6137,48.1415,5.3752,50.0253
Leshrac,2.0591,41.9413,2.3234,42.7888,2.5145,46.1562,3.0594,46.2253,4.9465,49.546
Beastmaster,1.7895,49.0516,2.8997,53.4112,4.2045,54.0345,6.5836,55.5159,11.2771,56.0154
Batrider,1.6754,43.8379,2.0095,45.7134,2.2115,45.2194,3.026,48.8022,6.6013,49.3918
Arc Warden,1.6235,43.6701,1.7455,47.055,1.7847,45.1149,1.7404,46.9171,1.5241,44.2857
Elder Titan,1.5877,48.5154,1.6382,48.7449,1.6636,50.3912,1.7496,51.4216,1.8629,49.233
Brewmaster,1.5321,49.1076,1.8716,50.0593,2.0549,50.4895,2.5669,48.2558,3.1747,48.6498
Visage,0.988,48.9503,1.092,52.0101,1.2107,52.4275,1.7041,56.3386,1.9963,54.8738
Chen,0.9664,48.5853,1.0719,50.1814,1.3286,51.7517,2.1732,52.8122,5.8202,53.6357
